CIN,Name,roc,status
U29265DL1987PTC028909,ECMEC ELECTRICALS PRIVATE LIMITED,Delhi,Strike Off
U74999DL1901PLC002621,THE PUBLIC FOUNDRY AND WORKSHOP LIMITED,Delhi,Strike Off
U28112DL1974PTC007317,CHEMCOR FABRICATORS DELHI PRIVATE LIMITED,Delhi,Strike Off
U93000DL1998PTC096149,BAND AND ASSOCIATES PRIVATE LIMITED,Delhi,Strike Off
U65992DL1988PTC030513,SHUBHAM CHIT FUND PRIVATE LIMITED,Delhi,Active
U74999DL2016PTC305850,AKS INDIA PRIVATE LIMITED,Delhi,Active
U74999DL2018NPL328316,MYAKS INDIA FOUNDATION,Delhi,Active
U62100DL1981PLC000041,VAYUDOOT LIMITED,Delhi,Strike Off
U24100DL1997PTC089967,SRI PARAMESHWARI CHEMICAL INDUSTRIES PRIVATE LIMITED,Delhi,Strike Off
U24239DL1999PTC102027,SWASTHYA AROGYA NIKETAN AND RESEARCH CENTRE PRIVATE LIMITED,Delhi,Strike Off
U18101DL2002PTC117588,WRAPTURE COUTURE PRIVATE LIMITED,Delhi,Strike Off
U00000DL2001PTC109189,FLEXTRONICS TECHNOLOGIES (INDIA) PRIVATE LIMITED,Delhi,Not available for efiling
U00082DL1949PTC001646,SHEELATA PROPERTIES PRIVATE LIMITED,Delhi,Strike Off
U65923DL1962PTC003722,AUTOLITE FINANCIERS PRIVATE LIMITED,Delhi,Strike Off
U65992DL2000PTC105515,VNS CHIT FUND PRIVATE LIMITED,Delhi,Active
U63010DL2009PTC194162,SYNAPSES ADVENTURES PRIVATE LIMITED,Delhi,Active
U70200DL2011PTC223717,GOLDEN EARTH BUILDERS PRIVATE LIMITED,Delhi,Strike Off
U55101DL1999PTC101118,MAGUS ESTATES AND HOTELS PRIVATE LIMITED,Delhi,Strike Off
U55204DL2001PTC109941,PARADIGM HOSPITALITY PRIVATE LIMITED,Delhi,Active
U52334DL1999PTC101053,MS WEBTRADE PRIVATE LIMITED,Delhi,Strike Off
U74899DL2001PTC109163,ARI E BUSINESS PRIVATE LIMITED,Delhi,Strike Off
U74899DL2002PTC104697,VIDYA EARTH MOVING EQUIPMENTS PRIVATE LIMITED,Delhi,Strike Off
U74899DL2005PTC143885,AMAN FABRICATORS PRIVATE LIMITED,Delhi,Strike Off
U74900DL1970PTC005388,TURNION INDIA PRIVATE LIMITED,Delhi,Strike Off
U74999DL1945PLC000900,AAND IMPEX LIMITED,Delhi,Strike Off
U72900DL2020PTC372419,TECHSPIRE SERVICES PRIVATE LIMITED,Delhi,Active
U74130DL1977PTC008810,AMNCO ENGINEERS PRIVATE LIMITED,Delhi,Strike Off
U74899DL1981PTC011498,BROADSTONE FARMS PRIVATE LIMITED,Delhi,Strike Off
U99999DL1991PTC046684,GREEN PUBLISHERS AND DISTRIBUTORS PRIVAT E LIMITED,Delhi,Strike Off
U70109DL2010PTC208722,INSAAF BUILDWELL PRIVATE LIMITED,Delhi,Active
U74899DL2001PTC109163,ARI E BUSINESS PRIVATE LIMITED,Delhi,Strike Off
U74899DL2002PTC104697,VIDYA EARTH MOVING EQUIPMENTS PRIVATE LIMITED,Delhi,Strike Off
U74899DL2005PTC143885,AMAN FABRICATORS PRIVATE LIMITED,Delhi,Strike Off
U74900DL1970PTC005388,TURNION INDIA PRIVATE LIMITED,Delhi,Strike Off
U74999DL1945PLC000900,AAND IMPEX LIMITED,Delhi,Strike Off
U74999DL1994PLC059227,PROTECT INDUSTRIES INDIA LIMITED,Delhi,Strike Off
U74130DL1977PTC008810,AMNCO ENGINEERS PRIVATE LIMITED,Delhi,Strike Off
U74899DL1981PTC011498,BROADSTONE FARMS PRIVATE LIMITED,Delhi,Strike Off
U93000DL1998PTC096152,MILLS AND ASSOCIATES PRIVATE LIMITED,Delhi,Strike Off
U99999DL1984PTC018087,EASWERS HIGH VACCUM PVT.LTD.,Delhi,Not available for efiling
U67120DL2001PTC109986,RITA SECURITIES AND SERVICES PRIVATE LIMITED,Delhi,Strike Off
U72200DL2001PTC109265,INDUS VALLEY INFOTECH PRIVATE LIMITED.,Delhi,Strike Off
U74300DL2005PLC143427,INDIA NEWS COMMUNICATIONS LIMITED,Delhi,Active
U55101DL1956PTC002750,CARANAN HOTELS PRIVATE LIMITED,Delhi,Strike Off
U29190DL1958PTC002920,AMTEEP MACHINES PRIVATE LIMITED,Delhi,Strike Off
U21017DL2000PTC103286,MBS DATA FORMS PRIVATE LIMITED,Delhi,Strike Off
U92419DL2005PTC144004,DAZZEL DIAMONDS HOSPITALITY PRIVATE LIMITED,Delhi,Strike Off
U92132DL1999PTC100759,SPELLBINDER PRODUCTIONS PRIVATE LIMITED,Delhi,Strike Off
U65921DL1999PTC101433,VITAL FINANCIAL PRIVATE LIMITED,Delhi,Amalgamated
U51909DL2002PTC117199,ADBHUT MARKETING NETWORK PRIVATE LIMITED,Delhi,Strike Off
U51909DL2005PTC142262,PSP EXIM PRIVATE LIMITED,Delhi,Converted to LLP
U99999DL2000PTC108177,WIRENIX INDIA PRIVATE LIMITED,Delhi,Strike Off
U74140DL1988PTC033629,GRASS ROOT CONSULTANTS PRIVATE LIMITED,Delhi,Strike Off
U74899DL1993PTC055456,SUBH-LABH SECURITIES PRIVATE LIMITED,Delhi,Strike Off
U15412DL1990PTC038960,MIDLAND FOODS PRIVATE LIMITED,Delhi,Strike Off
U51109DL2008PTC176009,DINCO MOTORS PRIVATE LIMITED,Delhi,Active
U51496DL2008PTC178264,ATHARVA PAPYRUS MEDICURE PRIVATE LIMITED,Delhi,Strike Off
U45309DL2017PTC322998,NAGARJUNA CONTRACTING PRIVATE LIMITED,Delhi,Active
U45201DL2017PTC322910,NAGARJUNA INFRA PROJECTS PRIVATE LIMITED,Delhi,Active
U93000DL1998PTC096148,GARNES AND ASSOCIATES PRIVATE LIMITED,Delhi,Strike Off
U51909DL2002PTC117199,ADBHUT MARKETING NETWORK PRIVATE LIMITED,Delhi,Strike Off
U70101DL1999PTC100684,NET-TECH CONSTRUCTIONS PRIVATE LIMITED,Delhi,Strike Off
U51909DL2005PTC142262,PSP EXIM PRIVATE LIMITED,Delhi,Converted to LLP
U52311DL1901PLC003115,RANBAXY LABORATERIES PRIVATE LIMITED,Delhi,Not available for efiling
U99999DL1983PLC016209,R.P.HYDDRO OILS LTD.,Delhi,Not available for efiling
U99999DL1984PTC019135,LAXMI PIPES PVT.LTD.,Delhi,Not available for efiling
U99999DL2000PTC108177,WIRENIX INDIA PRIVATE LIMITED,Delhi,Strike Off
U33112DL2005PTC138943,EVOLVE HEALTHCARE PRIVATE LIMITED,Delhi,Strike Off
U15147DL2004PTC131005,TERRA ARCHPLAN PROMOTERS PRIVATE LIMITED,Delhi,Strike Off
U16003DL1988PTC030824,MUJAHID ALI AND CO PVT LTD,Delhi,Strike Off
U24220DL1949PTC001577,RAJAWAT MINERALS AND PAINTS PRIVATE LIMITED,Delhi,Not available for efiling
U01407DL1997PLC089929,OGPL INDIA LIMITED,Delhi,Strike Off
U00082DL1946PTC000923,D.R.KUKREDA AND COMPANY PRIVATE LIMITED,Delhi,Strike Off
U00367DL1983PTC015354,HIMASEN ALPHA PVT.LTD.,Delhi,Not available for efiling
U00389DL1949PTC001655,DEEPAK OPTIC PRIVATE LIMITED,Delhi,Strike Off
U63040DL2000PTC103690,RIDHABH ORGANIZERS PRIVATE LIMITED,Delhi,Strike Off
U72900DL2019PTC344741,L2W SYSTEMS PRIVATE LIMITED,Delhi,Active
U29300DL2016PTC300009,GREENDAY INFOTECH PRIVATE LIMITED,Delhi,Active
U45202DL1999PTC102635,JENENDRA BUILDCON PRIVATE LIMITED,Delhi,Strike Off
U74140DL2015PTC284841,INDIAN EYES SECURITY PRIVATE LIMITED,Delhi,Strike Off
U99999DL1982PTC014394,INDIA FOUNDRY CHEMICALS PVT.LTD.,Delhi,Not available for efiling
U99999DL1984PTC019071,ABERDEEN TRADING AND INVESTMENT CO PVT LTD,Delhi,Strike Off
U74120DL2008PTC173404,VINAYAK MULTILEVEL MARKETING SOLUTION PRIVATE LIMITED,Delhi,Strike Off
U74210DL1999PTC102185,SUHAIL SALES (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U74899DL1974PTC007374,GOLDEN TEXTILES PRIVATE LIMITED,Delhi,Active
U74899DL1985PTC022443,SHYAM BUILDERS PRIVATE LIMITED,Delhi,Strike Off
U74999DL1997PTC088945,ECO CRAFT PRIVATE LIMITED,Delhi,Strike Off
U63030DL2020PTC361756,LOG29 CARGO MOVERS PRIVATE LIMITED,Delhi,Active
U72900DL2020PTC361739,ITONIC SOFTWARE PRIVATE LIMITED,Delhi,Active
U67120DL2000PTC107212,ANGEL BUSINESS SERVICES PRIVATE LIMITED,Delhi,Active
U51502DL2013PTC257933,STAR FLEX INDIA PRIVATE LIMITED,Delhi,Active
AAG-0149,ALGO WIL INDIA LLP,Delhi,Active
U74140DL2006PTC146566,HUMAN FACTOR TRAINING SOLUTION PRIVATE LIMITED,Delhi,Strike Off
U74899DL1987PTC027094,HI-TECH OILS PRIVATE LIMITED,Delhi,Active
U22122DL2006PTC145330,VIJAYVANI PUBLISHERS PRIVATE LIMITED,Delhi,Strike Off
U18109DL1981PTC012471,KRISHAN CREATION PRIVATE LIMITED,Delhi,Strike Off
U72300DL2011PTC228473,BOLKRIS INFO PRIVATE LIMITED,Delhi,Strike Off
U22300DL2006PTC147014,ICON CONTENT MULTIMEDIA PRIVATE LIMITED,Delhi,Strike Off
U67190DL2014PTC273107,JOHN DORY SECURITIES SERVICES PRIVATE LIMITED,Delhi,Strike Off
U74999DL2016PTC306247,RAJBALA RBR REALCON PRIVATE LIMITED,Delhi,Active
U70109DL2020PTC361981,POLWELL REAL ESTATES PRIVATE LIMITED,Delhi,Active
U21093DL2021PTC380040,WOODCRAFTS PRINTOTECH PRIVATE LIMITED,Delhi,Active
U18101DL2005PTC132199,MEERAJ APPAREL PRIVATE LIMITED,Delhi,Active
U01100DL2021PTC377916,TRDP AGRO SCIENCE PRIVATE LIMITED,Delhi,Active
U70200DL2013PTC259481,BRB INFRATECH PRIVATE LIMITED,Delhi,Strike Off
U67120DL1996PTC080373,PARTICULAR MANAGE FINLEASE (INDIA) PRIVA TE LIMITED,Delhi,Strike Off
U45400DL2008PTC182185,DIVYANSH REALTORS PRIVATE LIMITED,Delhi,Active
U45400DL2011PTC218879,DESIRE SWIFT CONSTRUCTION PRIVATE LIMITED,Delhi,Strike Off
U51100DL2007PLC167179,AUTEM CONSULTANCY SERVICES LIMITED,Delhi,Active
U45201DL2003PTC119818,JAIPURIA CONSTRUCTIONS PRIVATE LIMITED,Delhi,Strike Off
AAL-8434,PURPLE ROSE GARDEN & RESORTS LLP,Delhi,Active
AAJ-9751,GLOBAL PACIFIC LOGISTICS LLP,Delhi,Active
U74994DL2019PTC355341,FUSION TALENT MANAGEMENT SERVICES PRIVATE LIMITED,Delhi,Active
U74110DL1998PLC092904,WORLDWIDE PROFESSIONALS LIMITED,Delhi,Active
U74899DL2000PTC103169,EMINENCE ADVENTURES AND TOURS PRIVATE LIMITED.,Delhi,Strike Off
U74900DL2016PTC291796,KORAL SHOPPING NETWORK PRIVATE LIMITED,Delhi,Active
U74999DL2016PTC304054,MCJ MULTIPACK PRIVATE LIMITED,Delhi,Active
U70102DL2013PTC254746,R. M. REALCON PRIVATE LIMITED,Delhi,Converted to LLP and Dissolved
U24232DL2013PTC259534,ROSTRUMED BIOTECH PRIVATE LIMITED,Delhi,Active
AAV-0128,MOEZ ATELIERR LLP,Delhi,Active
U74899DL1922PTC000087,NATIONAL TRADING COMPANY PRIVATE LIMITED,Delhi,Active
U74899DL1985PTC022701,KAY RAGHAV COTTONS PRIVATE LIMITED,Delhi,Strike Off
U70109DL2011PTC219844,RAIESA BUILDER AND PROMOTOR PRIVATE LIMITED,Delhi,Strike Off
U93000DL2014PTC268561,PERFACT FACILITY SOLUTIONS PRIVATE LIMITED,Delhi,Active
U74999DL2018PTC332819,ELIYAH DIAGNOSTICS PRIVATE LIMITED,Delhi,Active
U74140DL2007PTC158481,PRIMUS ADVISORY SERVICES PRIVATE LIMITED,Delhi,Strike Off
U74140DL2011PTC223494,AVARTANAH CONSULTANCY SERVICES PRIVATE L IMITED,Delhi,Strike Off
U74140DL2012PTC245850,BLUEVALUE CONSULTANTS PRIVATE LIMITED,Delhi,Active
U72200DL2005PTC141058,JAIPURIA INFORMATION TECHNOLOGY PRIVATE LIMITED,Delhi,Strike Off
U52599DL2006PTC153276,PRAPANCH RETAIL PRIVATE LIMITED,Delhi,Strike Off
U31906DL2020PTC360868,YASTRA TECH PRIVATE LIMITED,Delhi,Active
U35990DL2013PTC251087,KUNTAL MACHINES INDIA PRIVATE LIMITED,Delhi,Strike Off
U25201DL1999PTC100487,MOONLIGHT POLYMERS PVT. LTD.,Delhi,Strike Off
U51311DL1998PTC097161,CHELSEA INTERNATIONAL PRIVATE LIMITED,Delhi,Active
U45400DL2011PTC218880,BLACK COBRA CONSTRUCTION PRIVATE LIMITED,Delhi,Strike Off
U45400DL2013PTC262916,PRUDENT CONTRACTS PRIVATE LIMITED,Delhi,Active
AAI-3926,JAIN PHARMACY LLP,Delhi,Active
U36990DL1989PTC162996,AVANTI BRISTLERS PRIVATE LIMITED,Delhi,Amalgamated
AAL-1770,AULIYA INTERNATIONAL TOUR & TRAVELS LLP,Delhi,Active
U74999DL2016PTC307646,NEVAAN AGARBATTI PRIVATE LIMITED,Delhi,Active
U74999DL2017PTC313908,SAVERA RICE INDIA PRIVATE LIMITED,Delhi,Active
U74999DL2019PTC353520,STRATEGIC FUSION PRIVATE LIMITED,Delhi,Active
U51101DL2014PTC268470,MRIDUL INTERNATIONAL PRIVATE LIMITED,Delhi,Active
U51909DL2013PTC251035,GEEMED MARKETING PRIVATE LIMITED,Delhi,Strike Off
U70109DL2006PTC150906,SAHDEV REAL ESTATE PRIVATE LIMITED,Delhi,Strike Off
U32109DL1997PTC084447,BLUEBELL (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U24100DL2010PTC204747,AVALON BIOCARES PRIVATE LIMITED,Delhi,Active
L72900DL2004PLC126096,CITYON SYSTEMS (INDIA) LIMITED,Delhi,Active
AAE-7662,S A A TRADING MART LLP,Delhi,Active
U63040DL2012PTC243308,DREAM O TRAVELZ PRIVATE LIMITED,Delhi,Active
U65992DL1986PTC024550,JEEVIKA CHITS PRIVATE LIMITED,Delhi,Strike Off
U67120DL1994PLC062707,BKJ SHARE BROKERS LIMITED,Delhi,Strike Off
U72200DL1996PTC080459,VNV SOFTWARE PRIVATE LIMITED,Delhi,Active
U72200DL2015PTC282537,GIANT TECH LABS PRIVATE LIMITED,Delhi,Active
